Exercise name, sets, reps, recommended weight, when to increase the weight and by how much, link to YouTube short tutorial
Single-Leg Romanian Deadlift (dumbbell), 3, 8-12/leg, RPE 7-8; balance first, When sets hit 12/leg -> +5 lb per dumbbell, https://www.youtube.com/shorts/8sFky7C7q2A
Seated Calf Raise (dumbbell on knees), 3, 12-20, RPE ~8; full stretch, When sets hit 20 reps -> +5-10 lb total, https://www.youtube.com/shorts/Ii1Qo44GasM
Forearm Plank, 3, 45-60 sec hold, Bodyweight, When 60s is easy -> add +10-20 lb plate on back or progress to harder variation, https://www.youtube.com/shorts/E-PBfoIMc-0
Cable Woodchop (each side), 3, 10-15/side, RPE ~8; control rotation, When sets hit 15/side -> next plate (~5 lb), https://www.youtube.com/shorts/p4vXA60_D6A

DAY 5 - Full-Body Pump + Core, , , , , 
Goblet Squat (moderate pace), 3, 12-15, RPE ~8, When sets hit 15 reps -> +5 lb, https://www.youtube.com/shorts/EUrU0HcPkQ8
Dumbbell Romanian Deadlift (moderate), 3, 10-12, RPE 7-8, When sets hit 12 reps -> +5-10 lb total, https://www.youtube.com/shorts/uYIlkIHksyk
Single-Arm Cable Row (each side), 3, 8-12/side, RPE 7-8, When sets hit 12/side -> next cable plate (~5 lb), https://www.youtube.com/shorts/1CV_vvYBEbA
Cable Lateral Raise, 3, 12-15, RPE ~8, When sets hit 15 reps -> next plate (~5 lb), https://www.youtube.com/shorts/HCfU6LGpgMk
Alternating Dumbbell Curl, 2-3, 10-15/arm, RPE 7-8, When sets hit 15/arm -> +2.5-5 lb per dumbbell, https://www.youtube.com/shorts/FHY_2t7R714
Cable Triceps Pushdown, 2-3, 10-15, RPE 7-8, When sets hit 15 reps -> next plate (~5 lb), https://www.youtube.com/shorts/1FjkhpZsaxc
Weighted Decline Crunch, 3, 10-15, Hold light plate/dumbbell; RPE ~8, When sets hit 15 reps -> +2.5-5 lb, https://www.youtube.com/shorts/T24Vji_gEaQ
